rank,source_file,prob,site,max_bout_all,bout_dur_all,n_seg_all,max_bout,n_nontype1_total,n_distinct_nontype1,aci,duty_cycle,peak_rate,orig_path
4792,liangzhuang_2024-05-21-birdnet-20_37_45,0.021758060695383,liangzhuang,10.0,4.001330000000003,53.0,3.0,0.0,0.0,353.64080810546875,0.2087443348440416,20.114942528735632,inputs/liangzhuang_2024-05-21-birdnet-20_37_45.mp3
4793,liangzhuang_2024-06-28-birdnet-13_04_54,0.021757315330023,liangzhuang,6.0,1.7799966666666729,53.0,1.0,2.0,2.0,352.9472045898437,0.0991735537190082,64.85215053763442,inputs/liangzhuang_2024-06-28-birdnet-13_04_54.mp3
4794,liangzhuang_2024-06-28-birdnet-07_40_51,0.0217572868108098,liangzhuang,5.0,1.2973299999999988,45.0,1.0,1.0,1.0,354.49493408203125,0.1948813649693415,19.15184678522572,inputs/liangzhuang_2024-06-28-birdnet-07_40_51.mp3
4795,liujiaxia_2024-06-25-birdnet-08_11_14,0.021757232609678,liujiaxia,8.0,2.455996666666671,54.0,1.0,0.0,0.0,346.4384765625,0.1660890429218875,20.264847512038525,inputs/liujiaxia_2024-06-25-birdnet-08_11_14.mp3
4796,liangzhuang_2023-06-17-birdnet-19_02_24,0.0217571535577766,liangzhuang,13.0,3.6013300000000044,79.0,1.0,0.0,0.0,361.4486389160156,0.238336443615036,16.91834451901566,inputs/liangzhuang_2023-06-17-birdnet-19_02_24.mp3
4797,minqin_2023-06-14-birdnet-13_31_01,0.0217550334312312,minqin,10.0,4.165330000000001,62.0,1.0,0.0,0.0,373.16796875,0.2028792322047454,23.3245729303548,inputs/minqin_2023-06-14-birdnet-13_31_01.mp3
4798,guanyinya_2023-06-18-birdnet-05_58_01,0.0217538082596736,guanyinya,8.0,3.5666633333333344,25.0,5.0,0.0,0.0,361.021484375,0.1447613969608104,61.23388581952118,inputs/guanyinya_2023-06-18-birdnet-05_58_01.mp3
4799,guanyinya_2023-07-12-birdnet-06_32_25,0.0217535569975366,guanyinya,11.0,3.5213300000000025,70.0,2.0,1.0,1.0,356.0550842285156,0.1495601173020528,45.00891265597148,inputs/guanyinya_2023-07-12-birdnet-06_32_25.mp3
4800,liangzhuang_2023-07-03-birdnet-16_30_01,0.0217534005489979,liangzhuang,8.0,2.869329999999999,58.0,1.0,0.0,0.0,389.1868286132813,0.1407624633431085,35.51136363636363,inputs/liangzhuang_2023-07-03-birdnet-16_30_01.mp3
4801,yongxing_2023-05-29-birdnet-11_49_01,0.0217523976851988,yongxing,7.0,2.6493299999999973,45.0,3.0,1.0,1.0,352.47906494140625,0.1436950146627566,24.11873840445269,inputs/yongxing_2023-05-29-birdnet-11_49_01.mp3
4802,yongxing_2023-06-12-birdnet-10_50_17,0.0217514626989779,yongxing,5.0,1.4079966666666657,46.0,1.0,1.0,1.0,344.0775756835937,0.1013063183151159,34.868421052631575,inputs/yongxing_2023-06-12-birdnet-10_50_17.mp3
4803,liujiaxia_2023-05-22-birdnet-17_13_45,0.0217508974688492,liujiaxia,20.0,5.466663333333335,77.0,0.0,0.0,0.0,373.5220031738281,0.194614769394828,33.04794520547945,inputs/liujiaxia_2023-05-22-birdnet-17_13_45.mp3
4804,yongxing_2024-07-16-birdnet-16_14_57,0.0217499149035881,yongxing,11.0,3.615996666666666,67.0,1.0,0.0,0.0,351.1697998046875,0.2583311117035457,20.38183694530444,inputs/yongxing_2024-07-16-birdnet-16_14_57.mp3
4805,yongxing_2023-07-11-birdnet-09_23_21,0.0217498502080582,yongxing,4.0,1.290663333333333,50.0,1.0,0.0,0.0,376.729248046875,0.0717142095441215,54.83271375464684,inputs/yongxing_2023-07-11-birdnet-09_23_21.mp3
4806,guanyinya_2023-06-14-birdnet-16_29_13,0.0217496267623793,guanyinya,5.0,1.5279966666666662,43.0,4.0,1.0,1.0,370.905029296875,0.1031724873367102,42.63565891472868,inputs/guanyinya_2023-06-14-birdnet-16_29_13.mp3
4807,guanyinya_2023-07-14-birdnet-12_54_52,0.0217493903392251,guanyinya,11.0,3.502663333333333,46.0,1.0,0.0,0.0,348.0340270996094,0.1532924553452412,21.95652173913044,inputs/guanyinya_2023-07-14-birdnet-12_54_52.mp3
4808,liangzhuang_2023-05-26-birdnet-19_49_35,0.0217492752279925,liangzhuang,4.0,1.398663333333337,45.0,1.0,1.0,1.0,347.8225402832031,0.0874433484404158,36.204268292682926,inputs/liangzhuang_2023-05-26-birdnet-19_49_35.mp3
4809,guanyinya_2023-06-16-birdnet-09_22_08,0.0217488044483712,guanyinya,16.0,6.651996666666668,43.0,1.0,0.0,0.0,360.0184020996094,0.2663289789389496,23.77377377377377,inputs/guanyinya_2023-06-16-birdnet-09_22_08.mp3
4810,liangzhuang_2023-05-26-birdnet-14_21_34,0.0217485179980462,liangzhuang,10.0,3.3959966666666688,55.0,2.0,0.0,0.0,362.3044128417969,0.1063716342308717,41.97994987468672,inputs/liangzhuang_2023-05-26-birdnet-14_21_34.mp3
4811,liangzhuang_2024-06-13-birdnet-17_09_52,0.0217483610191914,liangzhuang,10.0,3.050663333333333,55.0,4.0,0.0,0.0,360.85491943359375,0.1450279925353239,27.34375,inputs/liangzhuang_2024-06-13-birdnet-17_09_52.mp3
4812,yongxing_2024-05-16-birdnet-05_09_11,0.0217483501980764,yongxing,4.0,1.2866633333333333,41.0,1.0,4.0,1.0,362.5818481445313,0.115169288189816,27.77777777777778,inputs/yongxing_2024-05-16-birdnet-05_09_11.mp3
4813,liangzhuang_2023-05-26-birdnet-18_05_35,0.0217482040778168,liangzhuang,9.0,5.875996666666667,39.0,2.0,0.0,0.0,362.028076171875,0.1596907491335643,35.058430717863104,inputs/liangzhuang_2023-05-26-birdnet-18_05_35.mp3
4814,liujiaxia_2023-06-19-birdnet-13_20_59,0.0217480454619673,liujiaxia,6.0,2.530663333333333,55.0,5.0,0.0,0.0,350.0489501953125,0.1431618235137296,38.40782122905028,inputs/liujiaxia_2023-06-19-birdnet-13_20_59.mp3
4815,liangzhuang_2023-05-25-birdnet-15_41_30,0.0217480177714503,liangzhuang,19.0,8.627996666666666,63.0,1.0,0.0,0.0,355.4673767089844,0.2857904558784324,18.88992537313433,inputs/liangzhuang_2023-05-25-birdnet-15_41_30.mp3
4816,guanyinya_2024-06-14-birdnet-11_17_58,0.0217480115018794,guanyinya,13.0,4.28933,67.0,3.0,0.0,0.0,354.59527587890625,0.1058384430818448,28.96725440806045,inputs/guanyinya_2024-06-14-birdnet-11_17_58.mp3
4817,minqin_2023-07-16-birdnet-07_12_50,0.0217475103587976,minqin,12.0,4.023996666666665,43.0,2.0,0.0,0.0,375.6553955078125,0.0989069581444948,42.78975741239892,inputs/minqin_2023-07-16-birdnet-07_12_50.mp3
4818,liujiaxia_2023-07-07-birdnet-16_20_47,0.0217466156406117,liujiaxia,15.0,8.191996666666668,56.0,3.0,0.0,0.0,369.5789794921875,0.1018395094641429,45.48429319371728,inputs/liujiaxia_2023-07-07-birdnet-16_20_47.mp3
4819,yongxing_2024-04-21-birdnet-13_21_47,0.0217464005624843,yongxing,6.0,1.4719966666666655,67.0,1.0,1.0,1.0,364.1022338867188,0.1274326846174353,32.1652719665272,inputs/yongxing_2024-04-21-birdnet-13_21_47.mp3
4820,guanyinya_2023-06-17-birdnet-09_50_51,0.0217432248389353,guanyinya,15.0,5.7373299999999965,61.0,4.0,1.0,1.0,362.9456481933594,0.1874166888829645,30.58321479374111,inputs/guanyinya_2023-06-17-birdnet-09_50_51.mp3
