source_row,selection_id,View,Channel,begin_time,end_time,low_freq,high_freq,stable_id,source_stem,audio_duration_s,syllable_duration_s,frequency_box_valid,source_file
21,21,Spectrogram 1,1,7.294604977,7.463127204,197.3,14536.8,c28ce14a7fade0b433d9,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1685222270000004,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
22,22,Spectrogram 1,1,7.660101236,7.887715673,394.7,15457.7,5919fc6ae8d7d9c59c4b,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.2276144369999997,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
23,23,Spectrogram 1,1,8.067180902,8.226948727,986.7,14799.9,8df7a309b94522fd3fdc,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1597678249999994,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
24,24,Spectrogram 1,1,8.426111359,8.599010787,197.3,13747.5,9a496cc630e2e3dc0463,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1728994279999991,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
25,25,Spectrogram 1,1,8.682177601,8.828813824,1184.0,14865.7,164823186e3d362c60ed,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1466362229999998,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
26,26,Spectrogram 1,1,8.938243842,9.087068666,131.6,15391.9,e2ad645e20c26de30fb8,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.148824824,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
27,27,Spectrogram 1,1,9.253402284,9.548863331,0.0,13813.2,ce1bff82b2370388fc61,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.2954610469999998,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
28,28,Spectrogram 1,1,9.677990752,9.846512979,657.8,15128.8,ac75574947efa4dabf98,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1685222270000004,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
29,29,Spectrogram 1,1,10.150728428,10.341136659,394.7,12760.8,33052d47bf5314feacf4,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1904082309999992,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
30,30,Spectrogram 1,1,10.41117187,10.651917909,526.2,14734.1,ef508962f70af02c504e,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.2407460389999993,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
31,31,Spectrogram 1,1,10.956133645,11.120278671,0.0,15786.6,37d2b533a8e02209711a,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1641450259999999,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
32,32,Spectrogram 1,1,11.231897289,11.409173917,1644.4,14931.5,5e6777e141678f73ad1c,guanyinya_2023-06-14-birdnet-13_09_41_01,21.133145833333334,0.1772766279999995,True,audio/analysis_clips/guanyinya_2023-06-14-birdnet-13_09_41_01.wav
