source_file,site,prob,is_gold,is_gold_manual,is_listened,max_bout_all,bout_dur_all,n_seg_all,max_bout,n_nontype1_total,n_distinct_nontype1,aci,duty_cycle,peak_rate
guanyinya_2023-05-26-birdnet-09_06_43,guanyinya,0.0,False,False,True,2.0,0.4386633333333329,21.0,1.0,0.0,0.0,360.594970703125,0.1348973607038123,15.069169960474309
guanyinya_2023-05-26-birdnet-09_07_13,guanyinya,0.0,False,False,False,2.0,0.4973299999999998,21.0,1.0,0.0,0.0,356.9947509765625,0.1298320447880565,17.71047227926078
guanyinya_2023-05-26-birdnet-09_07_43,guanyinya,0.0019504820333041191,False,False,False,3.0,1.210663333333332,22.0,3.0,0.0,0.0,359.2557983398437,0.0831778192482004,21.23397435897436
guanyinya_2023-05-26-birdnet-09_08_13,guanyinya,0.001971159179145868,False,False,False,10.0,2.8039966666666665,39.0,1.0,0.0,0.0,356.0180358886719,0.1229005598507064,21.963123644251628
guanyinya_2023-05-26-birdnet-09_31_13,guanyinya,0.0,False,False,False,2.0,0.2346633333333319,29.0,1.0,0.0,0.0,348.5741577148437,0.1354305518528392,23.12992125984252
guanyinya_2023-05-26-birdnet-09_32_43,guanyinya,0.0,False,False,False,5.0,1.5679966666666676,47.0,1.0,0.0,0.0,349.15380859375,0.1575579845374566,32.36040609137056
guanyinya_2023-05-26-birdnet-09_43_14,guanyinya,0.0019747088186356076,False,False,False,10.0,3.143996666666666,46.0,3.0,0.0,0.0,369.1290283203125,0.1354305518528392,26.82086614173228
guanyinya_2023-05-26-birdnet-09_43_44,guanyinya,0.0,False,False,False,10.0,2.73733,36.0,2.0,0.0,0.0,351.1795654296875,0.3089842708611037,9.490940465918897
guanyinya_2023-05-26-birdnet-09_44_14,guanyinya,0.003930844665493893,False,False,False,5.0,1.981329999999998,29.0,5.0,0.0,0.0,362.0582275390625,0.0965075979738736,33.49447513812155
guanyinya_2023-05-26-birdnet-09_44_44,guanyinya,0.009860373465109757,False,False,False,6.0,2.058663333333332,45.0,2.0,0.0,0.0,361.75439453125,0.1423620367901892,15.91760299625468
guanyinya_2023-05-26-birdnet-09_45_13,guanyinya,0.0,False,False,False,3.0,0.8479966666666705,21.0,1.0,0.0,0.0,364.1696472167969,0.1506264996001066,12.61061946902655
guanyinya_2023-05-26-birdnet-09_45_44,guanyinya,0.0,False,False,False,3.0,0.5426633333333335,20.0,1.0,0.0,0.0,363.8570251464844,0.1324980005331911,25.15090543259557
guanyinya_2023-05-26-birdnet-10_14_14,guanyinya,0.0,False,False,False,8.0,2.910663333333336,61.0,1.0,0.0,0.0,354.2286376953125,0.245267928552386,18.75
guanyinya_2023-05-26-birdnet-10_14_44,guanyinya,0.0,False,False,False,8.0,3.1413300000000035,35.0,2.0,0.0,0.0,362.8430480957031,0.1018395094641429,50.39267015706806
guanyinya_2023-05-26-birdnet-10_15_14,guanyinya,0.001978036605657238,False,False,False,1.0,0.1733299999999999,24.0,1.0,0.0,0.0,362.8963623046875,0.0909090909090909,43.98826979472141
guanyinya_2023-05-26-birdnet-10_15_44,guanyinya,0.001976150859678314,False,False,True,6.0,1.681329999999999,34.0,2.0,0.0,0.0,366.2845764160156,0.0834444148227139,27.156549520766774
guanyinya_2023-05-26-birdnet-10_16_14,guanyinya,0.0019517808219178083,False,False,False,7.0,2.4879966666666693,36.0,1.0,0.0,0.0,358.8336181640625,0.1431618235137296,16.06145251396648
guanyinya_2023-05-26-birdnet-10_35_14,guanyinya,0.01792764295167963,False,False,False,10.0,4.862663333333333,51.0,2.0,0.0,0.0,357.940185546875,0.1524926686217008,20.323426573426573
guanyinya_2023-05-26-birdnet-10_35_44,guanyinya,0.0,False,False,False,3.0,1.0973299999999997,36.0,2.0,0.0,0.0,360.4513549804688,0.1607571314316182,20.107794361525706
guanyinya_2023-05-26-birdnet-10_36_14,guanyinya,0.0,False,False,False,5.0,1.758663333333338,36.0,2.0,0.0,0.0,368.25140380859375,0.1460943748333777,24.635036496350363
guanyinya_2023-05-26-birdnet-10_36_44,guanyinya,0.011990971159944781,False,False,False,10.0,4.078663333333338,23.0,2.0,0.0,0.0,376.61419677734375,0.1010397227406025,52.1108179419525
guanyinya_2023-05-26-birdnet-10_37_14,guanyinya,0.009878755948753457,False,False,False,9.0,3.417329999999998,56.0,2.0,0.0,0.0,377.94378662109375,0.0815782458011197,95.1797385620915
guanyinya_2023-05-26-birdnet-10_37_44,guanyinya,0.0019775929007210206,False,False,False,6.0,1.8026633333333333,60.0,2.0,0.0,0.0,363.4869995117188,0.1149026926153025,55.68445475638051
