top_k,any_song_n,any_song_precision,any_song_recall_within_candidates,any_song_lift,usable_song_n,usable_song_precision,usable_song_recall_within_candidates,usable_song_lift
100,56,0.56,0.12307692307692308,6.120615384615385,37,0.37,0.1712962962962963,8.518564814814814
500,150,0.3,0.32967032967032966,3.2789010989010987,78,0.156,0.3611111111111111,3.591611111111111
1000,226,0.226,0.4967032967032967,2.4701054945054945,111,0.111,0.5138888888888888,2.555569444444444
2000,308,0.154,0.676923076923077,1.6831692307692308,156,0.078,0.7222222222222222,1.7958055555555554
3000,382,0.12733333333333333,0.8395604395604396,1.3917113553113551,185,0.06166666666666667,0.8564814814814815,1.4197608024691357
4000,423,0.10575,0.9296703296703297,1.1558126373626374,204,0.051,0.9444444444444444,1.1741805555555553
4973,455,0.09149406796702192,1.0,1.0,216,0.04343454655137744,1.0,1.0
