rank_start,rank_end,n,any_song_n,any_song_precision,any_song_lift,usable_song_n,usable_song_precision,usable_song_lift
1,100,100,56,0.56,6.120615384615385,37,0.37,8.518564814814814
101,500,400,94,0.235,2.5684725274725273,41,0.1025,2.359872685185185
501,1000,500,76,0.152,1.66130989010989,33,0.066,1.5195277777777778
1001,2000,1000,82,0.082,0.8962329670329671,45,0.045,1.0360416666666665
2001,3000,1000,74,0.074,0.8087956043956044,29,0.029,0.6676712962962963
3001,4000,1000,41,0.041,0.44811648351648353,19,0.019,0.43743981481481475
4001,4973,973,32,0.0328879753340185,0.35945472821115165,12,0.012332990750256937,0.2839442731529062
