source_file,n_rel,max_bout,bout_dur,bout_rate,isi_cv,n_song_in_bout,n_types_bout,n_song_total,n_nontype1_total,frac_nontype1,n_distinct_nontype1,bout_start_s,bout_end_s
guanyinya_2024-04-18-birdnet-15_17_37,7.0,1.0,0.18133000000000007,5.514807257486349,,0.0,0.0,0.0,0.0,0.0,0.0,0.1420016666666666,0.3233316666666667
guanyinya_2024-04-18-birdnet-15_18_07,5.0,1.0,0.1719966666666668,5.814066164072942,,0.0,0.0,0.0,0.0,0.0,0.0,2.159335,2.331331666666667
guanyinya_2024-04-18-birdnet-15_18_37,1.0,1.0,0.2039966666666686,4.902040883020918,,0.0,0.0,0.0,0.0,0.0,0.0,25.85266833333333,26.056665
guanyinya_2024-04-18-birdnet-15_19_37,2.0,1.0,0.15732999999999908,6.356066865823466,,0.0,0.0,0.0,0.0,0.0,0.0,4.676668333333334,4.833998333333333
guanyinya_2024-04-18-birdnet-15_20_07,10.0,1.0,0.15332999999999997,6.521880910454577,,0.0,0.0,0.0,0.0,0.0,0.0,3.099335,3.252665
guanyinya_2024-04-18-birdnet-15_20_37,1.0,1.0,0.16399666666666635,6.097684912294977,,0.0,0.0,0.0,0.0,0.0,0.0,2.2540016666666665,2.417998333333333
guanyinya_2024-04-18-birdnet-15_21_07,1.0,1.0,0.14399666666666633,6.944605199194442,,0.0,0.0,0.0,0.0,0.0,0.0,28.719335,28.863331666666667
guanyinya_2024-04-18-birdnet-15_21_37,4.0,1.0,0.15599666666666656,6.410393384474031,,0.0,0.0,0.0,0.0,0.0,0.0,1.1966683333333334,1.352665
guanyinya_2024-04-18-birdnet-15_22_07,3.0,1.0,0.16266333333333804,6.147666960388355,,0.0,0.0,0.0,0.0,0.0,0.0,19.72866833333333,19.89133166666667
guanyinya_2024-04-18-birdnet-15_22_37,1.0,1.0,0.12666333333333338,7.89494460380536,,0.0,0.0,0.0,0.0,0.0,0.0,0.2046683333333333,0.3313316666666667
guanyinya_2024-04-18-birdnet-15_38_07,1.0,1.0,0.16799666666666635,5.952499057520994,,0.0,0.0,0.0,0.0,0.0,0.0,5.703335,5.871331666666666
guanyinya_2024-04-18-birdnet-15_39_37,2.0,1.0,0.10132999999999903,9.868745682423858,,0.0,0.0,0.0,0.0,0.0,0.0,5.620668333333334,5.721998333333333
guanyinya_2024-04-18-birdnet-15_42_07,1.0,1.0,0.19066333333333318,5.244846937883533,,0.0,0.0,0.0,0.0,0.0,0.0,14.410001666666666,14.600665
guanyinya_2024-04-18-birdnet-15_42_37,2.0,1.0,0.21466333333333232,4.658457429463213,,0.0,0.0,0.0,0.0,0.0,0.0,3.524668333333333,3.7393316666666654
