file,kind,source,base_recording,site,region,year,src_path
liangzhuang_2023-05-26-birdnet-19_37_05__bout_004.wav,pipeline,2023_ruleA,liangzhuang_2023-05-26-birdnet-19_37_05,liangzhuang,polluted,2023,tmp/test_knn_2023/song_selection/ruleA_song/liangzhuang_2023-05-26-birdnet-19_37_05__bout_004.wav
liangzhuang_2023-05-27-birdnet-10_30_08_01.wav,manual,manual_2person,liangzhuang_2023-05-27-birdnet-10_30_08,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-05-27-birdnet-10_30_08_01.wav
liangzhuang_2023-05-27-birdnet-14_33_39__bout_005.wav,pipeline,2023_ruleA,liangzhuang_2023-05-27-birdnet-14_33_39,liangzhuang,polluted,2023,tmp/test_knn_2023/song_selection/ruleA_song/liangzhuang_2023-05-27-birdnet-14_33_39__bout_005.wav
liangzhuang_2023-06-04-birdnet-18_05_53_01_01.wav,manual,manual_2person,liangzhuang_2023-06-04-birdnet-18_05_53,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-04-birdnet-18_05_53_01_01.wav
liangzhuang_2023-06-04-birdnet-18_05_53_01_02.wav,manual,manual_2person,liangzhuang_2023-06-04-birdnet-18_05_53,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-04-birdnet-18_05_53_01_02.wav
liangzhuang_2023-06-06-birdnet-13_41_55_01.wav,manual,manual_2person,liangzhuang_2023-06-06-birdnet-13_41_55,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-06-birdnet-13_41_55_01.wav
liangzhuang_2023-06-07-birdnet-16_55_10_01_01.wav,manual,manual_2person,liangzhuang_2023-06-07-birdnet-16_55_10,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-07-birdnet-16_55_10_01_01.wav
liangzhuang_2023-06-07-birdnet-16_55_10_01_02.wav,manual,manual_2person,liangzhuang_2023-06-07-birdnet-16_55_10,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-07-birdnet-16_55_10_01_02.wav
liangzhuang_2023-06-07-birdnet-16_55_10_01_03.wav,manual,manual_2person,liangzhuang_2023-06-07-birdnet-16_55_10,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-07-birdnet-16_55_10_01_03.wav
liangzhuang_2023-06-07-birdnet-16_55_10_01_04.wav,manual,manual_2person,liangzhuang_2023-06-07-birdnet-16_55_10,liangzhuang,polluted,2023,birdsongs/wav_manul_seg_final_bandpass/liangzhuang_2023-06-07-birdnet-16_55_10_01_04.wav
