source_file,n_seg_all,max_bout_all,bout_dur_all,active_dur_all
guanyinya_2023-05-18-birdnet-11_41_09,17,6,2.6666633333333327,5.333276666666686
guanyinya_2023-05-19-birdnet-05_58_48,56,9,2.6093300000000004,13.561146666666708
guanyinya_2023-05-19-birdnet-08_12_50,11,8,3.386663333333333,3.6879633333333395
guanyinya_2023-05-19-birdnet-08_13_19,40,8,3.8119966666666656,14.038533333333362
guanyinya_2023-05-19-birdnet-08_13_49,59,5,1.7866633333333315,8.569136666666727
guanyinya_2023-05-20-birdnet-06_51_31,53,14,5.841330000000003,10.366490000000063
guanyinya_2023-05-20-birdnet-08_46_02,21,2,0.4426633333333321,3.1559300000000525
guanyinya_2023-05-21-birdnet-15_18_18,39,6,1.203996666666666,5.687870000000043
guanyinya_2023-05-22-birdnet-11_04_29,42,8,4.511996666666666,10.21319333333335
guanyinya_2023-05-22-birdnet-11_04_59,35,4,1.473329999999999,7.777216666666691
guanyinya_2023-05-22-birdnet-12_54_00,57,6,2.049330000000001,11.582476666666695
guanyinya_2023-05-22-birdnet-12_54_30,50,7,2.5026633333333344,12.75583333333335
guanyinya_2023-05-22-birdnet-12_55_00,43,8,4.571996666666667,11.727856666666696
guanyinya_2023-05-22-birdnet-13_44_31,41,5,0.847996666666667,4.110530000000052
guanyinya_2023-05-22-birdnet-17_13_03,26,4,1.4693300000000007,3.646580000000016
guanyinya_2023-05-22-birdnet-18_54_04,30,7,2.831996666666666,5.590566666666708
guanyinya_2023-05-24-birdnet-09_26_08,33,11,6.285330000000002,11.615890000000048
guanyinya_2023-05-24-birdnet-09_27_08,10,4,1.0026633333333337,3.739966666666672
guanyinya_2023-05-24-birdnet-11_12_09,61,10,3.735996666666667,10.65579666666672
guanyinya_2023-05-24-birdnet-11_31_39,45,4,1.3506633333333333,6.785183333333387
guanyinya_2023-05-26-birdnet-08_17_13,42,7,3.657329999999998,10.973193333333372
guanyinya_2023-05-26-birdnet-08_18_43,47,7,2.818663333333333,10.521176666666715
guanyinya_2023-05-26-birdnet-08_19_13,60,16,4.637329999999999,12.337133333333366
guanyinya_2023-05-26-birdnet-08_20_43,35,2,0.5439966666666649,5.573216666666695
guanyinya_2023-05-26-birdnet-08_28_13,46,9,4.46399666666667,11.829180000000083
guanyinya_2023-05-26-birdnet-09_04_13,34,3,0.847996666666667,6.847886666666699
guanyinya_2023-05-26-birdnet-09_05_43,47,5,2.145330000000005,12.451843333333393
guanyinya_2023-05-26-birdnet-09_06_13,39,5,2.4706633333333325,10.637203333333366
guanyinya_2023-05-26-birdnet-09_06_43,21,2,0.43866333333333296,3.7705966666666764
guanyinya_2023-05-26-birdnet-09_07_13,21,2,0.49732999999999983,3.6052633333333457
guanyinya_2023-05-26-birdnet-09_07_43,22,3,1.2106633333333319,3.9599266666666724
guanyinya_2023-05-26-birdnet-09_08_13,39,10,2.8039966666666665,6.043870000000021
guanyinya_2023-05-26-birdnet-09_31_13,29,2,0.2346633333333319,3.8305700000000207
