source_file,n_rel,max_bout,bout_dur,bout_rate,isi_cv,n_song_in_bout,n_types_bout,n_song_total,n_nontype1_total,frac_nontype1,n_distinct_nontype1,bout_start_s,bout_end_s
guanyinya_2023-05-19-birdnet-08_12_50,1.0,1.0,0.945330000000002,1.0578316566701553,,0.0,0.0,0.0,0.0,0.0,0.0,29.046001666666665,29.991331666666667
guanyinya_2023-05-19-birdnet-08_13_19,4.0,2.0,1.298663333333332,1.5400450206494387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.983335,9.281998333333332
guanyinya_2023-05-19-birdnet-08_13_49,6.0,1.0,0.15333000000000008,6.521880910454572,,0.0,0.0,0.0,0.0,0.0,0.0,0.6953349999999999,0.848665
guanyinya_2023-05-20-birdnet-08_46_02,2.0,1.0,0.10799666666666852,9.259545047686498,,0.0,0.0,0.0,0.0,0.0,0.0,23.435335,23.543331666666667
guanyinya_2023-05-22-birdnet-12_54_00,23.0,2.0,1.0919966666666658,1.83150742218383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.622001666666667,6.713998333333333
guanyinya_2023-05-22-birdnet-12_54_30,13.0,2.0,1.2439966666666713,1.6077213497356577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.95266833333333,21.196665000000003
guanyinya_2023-05-22-birdnet-12_55_00,7.0,1.0,0.45199666666666594,2.212405696207203,,0.0,0.0,2.0,0.0,0.0,0.0,1.3780016666666668,1.8299983333333327
guanyinya_2023-05-24-birdnet-11_12_09,2.0,1.0,0.2573299999999987,3.8860607002681573,,0.0,0.0,0.0,0.0,0.0,0.0,6.294001666666667,6.551331666666666
guanyinya_2023-05-26-birdnet-08_17_13,4.0,1.0,0.2319966666666673,4.310406758717786,,0.0,0.0,0.0,0.0,0.0,0.0,10.019335,10.251331666666667
guanyinya_2023-05-26-birdnet-08_18_43,11.0,2.0,0.8573300000000046,2.3328240000933005,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.15666833333333,23.013998333333333
guanyinya_2023-05-26-birdnet-08_19_13,16.0,3.0,1.6919966666666681,1.7730531384025563,0.24115755627009994,0.0,0.0,1.0,1.0,1.0,1.0,27.367335,29.05933166666667
guanyinya_2023-05-26-birdnet-08_28_13,3.0,1.0,0.21732999999999958,4.601297565913597,,1.0,1.0,1.0,0.0,0.0,0.0,4.410001666666667,4.627331666666667
guanyinya_2023-05-26-birdnet-09_05_43,9.0,2.0,0.967996666666668,2.0661228172273294,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.660668333333334,19.628665
guanyinya_2023-05-26-birdnet-09_06_13,9.0,1.0,0.222663333333333,4.491085195886173,,0.0,0.0,0.0,0.0,0.0,0.0,1.1940016666666668,1.4166649999999998
guanyinya_2023-05-26-birdnet-09_06_43,13.0,1.0,0.1946633333333333,5.137074264970291,,0.0,0.0,1.0,0.0,0.0,0.0,0.0446683333333333,0.2393316666666666
