threshold,recall_all,recall_manual,neg_kept_frac
0.002,0.9821428571428571,0.9736842105263158,0.3484218802650792
0.004,0.9821428571428571,0.9736842105263158,0.2732786701111985
0.006,0.9732142857142857,0.9605263157894737,0.2293608895877794
0.008,0.9732142857142857,0.9605263157894737,0.2018420757048186
0.01,0.9553571428571429,0.9342105263157895,0.18083791980231384
0.012,0.9553571428571429,0.9342105263157895,0.15983376389980905
0.014,0.9464285714285714,0.9210526315789473,0.14613051780298775
0.016,0.9285714285714286,0.8947368421052632,0.13197798494889362
0.018,0.9196428571428571,0.881578947368421,0.12153206784230035
0.02,0.9107142857142857,0.881578947368421,0.11288329776479838
0.04,0.8125,0.7894736842105263,0.06256318095024149
0.06,0.7232142857142857,0.6710526315789473,0.04403010221273728
0.08,0.6875,0.631578947368421,0.02886667415477929
0.1,0.6607142857142857,0.6052631578947368,0.022576659552959677
0.12,0.6071428571428571,0.5526315789473685,0.01729754015500393
0.14,0.5714285714285714,0.5,0.013478602718184882
0.16,0.5446428571428571,0.47368421052631576,0.01145681231045715
0.18,0.5357142857142857,0.4605263157894737,0.010333595417275077
0.2,0.5178571428571429,0.4473684210526316,0.008424126698865551
0.22,0.5089285714285714,0.4473684210526316,0.0064023362911378185
0.24,0.45535714285714285,0.39473684210526316,0.0050544760193193304
0.26,0.4375,0.3815789473684211,0.004155902504773672
0.28,0.41964285714285715,0.35526315789473684,0.00381893743681905
0.3,0.375,0.3026315789473684,0.0031450073009098058
0.32,0.35714285714285715,0.27631578947368424,0.0028080422329551835
0.34,0.3125,0.25,0.0024710771650005617
0.36,0.2857142857142857,0.21052631578947367,0.002246433786364147
0.38,0.26785714285714285,0.21052631578947367,0.002021790407727732
0.4,0.25,0.19736842105263158,0.0015725036504549029
0.42,0.23214285714285715,0.17105263157894737,0.001347860271818488
0.44,0.20535714285714285,0.13157894736842105,0.0012355385825002809
0.46,0.1875,0.11842105263157894,0.0011232168931820735
0.48,0.17857142857142858,0.11842105263157894,0.0007862518252274514
0.5,0.16964285714285715,0.11842105263157894,0.0007862518252274514
0.52,0.16071428571428573,0.10526315789473684,0.0005616084465910367
0.54,0.15178571428571427,0.10526315789473684,0.00044928675727282937
0.56,0.125,0.09210526315789473,0.00044928675727282937
0.58,0.11607142857142858,0.09210526315789473,0.00044928675727282937
0.6,0.10714285714285714,0.09210526315789473,0.00022464337863641469
0.62,0.09821428571428571,0.09210526315789473,0.00022464337863641469
0.64,0.09821428571428571,0.09210526315789473,0.00011232168931820734
0.66,0.08035714285714286,0.07894736842105263,0.0
0.68,0.07142857142857142,0.07894736842105263,0.0
0.7,0.0625,0.06578947368421052,0.0
0.72,0.0625,0.06578947368421052,0.0
0.74,0.0625,0.06578947368421052,0.0
0.76,0.0625,0.06578947368421052,0.0
0.78,0.044642857142857144,0.039473684210526314,0.0
0.8,0.03571428571428571,0.02631578947368421,0.0
0.82,0.026785714285714284,0.02631578947368421,0.0
0.84,0.026785714285714284,0.02631578947368421,0.0
0.86,0.026785714285714284,0.02631578947368421,0.0
0.88,0.017857142857142856,0.013157894736842105,0.0
